species	detected_runs	SRR27343287	SRR27343328	SRR27343528	SRR27343727	SRR27343780	SRR27343819	SRR27343859	SRR27343937	SRR27344010	SRR27344039	SRR27343292	SRR27343320	SRR27343357	SRR27343483	SRR27343762	SRR27343786	SRR27343811	SRR27343869	SRR27343923	SRR27344043	SRR27343285	SRR27343295	SRR27343697	SRR27343701	SRR27343702	SRR27343703	SRR27343759	SRR27343767	SRR27343773	SRR27344048
Homo sapiens	30	0.28314	0.61887	0.31067	0.39514	0.47984	0.52987	0.26329	0.20124	0.38057	0.08115	0.43052	0.53455	0.3562	0.60118	0.33131	0.54511	0.28586	0.66946	0.35714	0.5683	0.19849	0.35121	0.44954	0.24226	0.30041	0.26041	0.3276	0.45598	0.48705	0.37007
Toxoplasma gondii	30	0.19125	0.28158	0.44269	0.28101	0.23118	0.31281	0.17367	0.31332	0.55993	0.10231	0.51063	0.40838	0.512	0.33982	0.2409	0.45435	0.42284	0.25242	0.60313	0.37407	0.17066	0.38856	0.34954	0.16923	0.40895	0.32707	0.27295	0.43599	0.25223	0.30285
Arabidopsis thaliana	26	0.37426	0.09807	0.24236	0.11733	0.00874	0.15686	0.0064	0.00509	0.0274	0	0	0.05654	0.00406	0.05841	0.39502	0	0.2726	0.07811	0.0107	0.0571	0.6233	0.24672	0.2	0.53949	0.14841	0.0917	0.36671	0.10768	0	0.00404
Prevotella melaninogenica	7	0.01261	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01032	0	0.01122	0	0	0	0.00737	0	0	0.00492	0.00412	0	0	0	0.06964	0
Benincasa hispida	4	0	0	0.00394	0	0	0	0	0.00437	0.00685	0.00615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella jejuni	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0068	0	0	0	0	0	0	0.00369	0.03086	0	0.00721	0	0	0
Pseudomonas aeruginosa	4	0	0	0	0	0	0	0.55608	0.47016	0	0.78654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30641
Rothia mucilaginosa	3	0.01313	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02124	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05491	0
Bacteroides heparinolyticus	2	0	0	0	0	0	0	0	0	0.01969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26993	0	0	0	0
Haemophilus parainfluenzae	2	0.00824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01027	0
Klebsiella pneumoniae	2	0	0	0	0.20652	0.26815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycobacteroides abscessus	2	0	0	0	0	0	0	0	0.00509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01615
Porphyromonas endodontalis	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01604	0	0	0	0	0	0	0.01034	0	0	0	0
Porphyromonas gingivalis	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00308	0	0.00299	0	0	0	0
Prevotella intermedia	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00492	0	0.0166	0	0	0	0
Prevotella sp. oral taxon 299	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00226	0	0	0	0	0.00536	0
Stenotrophomonas maltophilia	2	0	0	0	0	0	0	0	0	0	0	0.02234	0	0.03548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Veillonella parvula	2	0.02831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02238	0	0	0	0	0
Acinetobacter junii	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0067	0
Acinetobacter nosocomialis	1	0	0	0	0	0	0	0	0	0	0	0.03542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aggregatibacter aphrophilus	1	0	0	0	0	0.0121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azorhizobium caulinodans	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00643	0	0	0	0	0
Bacteroides zoogleoformans	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00599	0	0	0	0
Burkholderia cenocepacia	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter rectus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00707	0	0	0	0
Candida albicans	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00283	0	0	0	0	0
Capnocytophaga gingivalis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00283	0	0	0	0	0
Corynebacterium singulare	1	0	0	0	0	0	0	0	0	0	0.01577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cucurbita pepo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00397	0	0	0	0	0	0	0	0
Cupriavidus sp. EM10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01969	0	0	0
Cutibacterium acnes	1	0	0	0	0	0	0	0	0	0	0.00692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eikenella corrodens	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01261	0	0	0	0	0	0	0	0	0	0	0
Filifactor alocis	1	0	0	0	0	0	0	0	0	0.00471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemella haemolysans	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00759	0
Gemella sanguinis	1	0.00438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Granulicatella adiacens	1	0.01313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lautropia mirabilis	1	0.01261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parvimonas micra	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00527	0	0	0
Prevotella nigrescens	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03661	0
Prevotella veroralis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01205	0
Schaalia odontolytica	1	0.02445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus aureus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00914	0	0	0	0	0	0	0	0
Staphylococcus epidermidis	1	0.00463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus lactarius	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00952	0	0	0	0	0
Streptococcus mitis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02443	0	0	0	0	0
Streptococcus oralis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05491	0
Streptococcus pseudopneumoniae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02913	0	0	0	0	0	0
Streptococcus sanguinis	1	0.02857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus sp. Marseille-Q3533	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00874	0	0	0	0	0
Streptococcus sp. Marseille-Q6470	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01235	0	0	0	0	0
Streptococcus sp. oral taxon 061	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01646	0	0	0	0	0
Torque teno virus 16	1	0	0	0	0	0	0	0	0	0	0	0	0	0.01487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torque teno virus 22	1	0	0	0	0	0	0	0	0	0	0	0	0	0.01757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Treponema denticola	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0068	0	0	0	0
