Run	BioSample	Sample	SampleName	LibraryName	LibraryStrategy	LibrarySource	LibraryLayout	spots	bases	avgLength	size_MB	ScientificName	Disease	Body_Site	CenterName	representative_rule
SRR27343522	SAMN39106122	SRS19982483	20210831MCX008	20210831MCX008 DNA	WGS	METAGENOMIC	SINGLE	276255	13812750	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343521	SAMN39106123	SRS19982484	20210309MCX010	20210309MCX010 DNA	WGS	METAGENOMIC	SINGLE	266429	13321450	50	5.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343520	SAMN39106124	SRS19982485	20210323MCX004	20210323MCX004 DNA	WGS	METAGENOMIC	SINGLE	299746	14987300	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343519	SAMN39106125	SRS19982486	20210410MCX006	20210410MCX006 DNA	WGS	METAGENOMIC	SINGLE	374362	18718100	50	8.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343518	SAMN39106126	SRS19982487	20210515MCX006	20210515MCX006 DNA	WGS	METAGENOMIC	SINGLE	631832	31591600	50	14.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343517	SAMN39106127	SRS19982488	20210604MCX007	20210604MCX007 DNA	WGS	METAGENOMIC	SINGLE	578288	28914400	50	12.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343516	SAMN39106128	SRS19982489	20210622MCX006	20210622MCX006 DNA	WGS	METAGENOMIC	SINGLE	432452	21622600	50	9.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343515	SAMN39106129	SRS19982490	20210626MCX006	20210626MCX006 DNA	WGS	METAGENOMIC	SINGLE	627552	31377600	50	14.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343514	SAMN39106130	SRS19982491	20210629MCX010	20210629MCX010 DNA	WGS	METAGENOMIC	SINGLE	338310	16915500	50	7.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343513	SAMN39106131	SRS19982492	20210828MCX008	20210828MCX008 DNA	WGS	METAGENOMIC	SINGLE	240209	12010450	50	5.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343511	SAMN39106132	SRS19982494	20210902MCX009	20210902MCX009 DNA	WGS	METAGENOMIC	SINGLE	217951	10897550	50	4.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343510	SAMN39106133	SRS19982495	20211103MCX005	20211103MCX005 DNA	WGS	METAGENOMIC	SINGLE	770800	38540000	50	17.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343509	SAMN39106134	SRS19982496	20211120MCX005	20211120MCX005 DNA	WGS	METAGENOMIC	SINGLE	283879	14193950	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343508	SAMN39106135	SRS19982497	20211123MCX011	20211123MCX011 DNA	WGS	METAGENOMIC	SINGLE	585487	29274350	50	13.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343507	SAMN39106136	SRS19982498	20211209MCX017	20211209MCX017 DNA	WGS	METAGENOMIC	SINGLE	178503	8925150	50	4.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343506	SAMN39106137	SRS19982499	20211224MCX018	20211224MCX018 DNA	WGS	METAGENOMIC	SINGLE	220366	11018300	50	5.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343505	SAMN39106138	SRS19982500	20211022MCX016	20211022MCX016 DNA	WGS	METAGENOMIC	SINGLE	245839	12291950	50	5.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343504	SAMN39106139	SRS19982501	20211127MCX011	20211127MCX011 DNA	WGS	METAGENOMIC	SINGLE	1273360	63668000	50	29.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343503	SAMN39106140	SRS19982502	20210517MCX004	20210517MCX004 DNA	WGS	METAGENOMIC	SINGLE	360364	18018200	50	8.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343502	SAMN39106141	SRS19982503	20210629MCX009	20210629MCX009 DNA	WGS	METAGENOMIC	SINGLE	301772	15088600	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343500	SAMN39106142	SRS19982505	20210719MCX006	20210719MCX006 DNA	WGS	METAGENOMIC	SINGLE	650099	32504950	50	14.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343499	SAMN39106143	SRS19982506	20210811MCX011	20210811MCX011 DNA	WGS	METAGENOMIC	SINGLE	626665	31333250	50	14.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343497	SAMN39106144	SRS19982507	20210825MCX012	20210825MCX012 DNA	WGS	METAGENOMIC	SINGLE	543543	27177150	50	11.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343333	SAMN39106145	SRS19982663	20210914MCX012	20210914MCX012 DNA	WGS	METAGENOMIC	SINGLE	282600	14130000	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343332	SAMN39106146	SRS19982664	20210916MCX005	20210916MCX005 DNA	WGS	METAGENOMIC	SINGLE	665944	33297200	50	14.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343331	SAMN39106147	SRS19982665	20210916MCX007	20210916MCX007 DNA	WGS	METAGENOMIC	SINGLE	346336	17316800	50	7.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343330	SAMN39106148	SRS19982667	20210922MCX010	20210922MCX010 DNA	WGS	METAGENOMIC	SINGLE	325981	16299050	50	7.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343329	SAMN39106149	SRS19982666	20210923MCX015	20210923MCX015 DNA	WGS	METAGENOMIC	SINGLE	220896	11044800	50	5.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343328	SAMN39106150	SRS19982668	20210923MCX021	20210923MCX021 DNA	WGS	METAGENOMIC	SINGLE	119816	5990800	50	2.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343327	SAMN39106151	SRS19982669	20211103MCX002	20211103MCX002 DNA	WGS	METAGENOMIC	SINGLE	976702	48835100	50	22.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343325	SAMN39106152	SRS19982672	20211104MCX009	20211104MCX009 DNA	WGS	METAGENOMIC	SINGLE	1039824	51991200	50	22.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343324	SAMN39106153	SRS19982670	20211118MCX015	20211118MCX015 DNA	WGS	METAGENOMIC	SINGLE	644156	32207800	50	15.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343323	SAMN39106154	SRS19982671	20211119MCX011	20211119MCX011 DNA	WGS	METAGENOMIC	SINGLE	2160399	108019950	50	48.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343322	SAMN39106155	SRS19982673	20211207MCX007	20211207MCX007 DNA	WGS	METAGENOMIC	SINGLE	289964	14498200	50	7.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343321	SAMN39106156	SRS19982674	20211216MCX010	20211216MCX010 DNA	WGS	METAGENOMIC	SINGLE	297448	14872400	50	7.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343320	SAMN39106157	SRS19982675	20220310MCX026	20220310MCX026 DNA	WGS	METAGENOMIC	SINGLE	142422	7121100	50	3.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343319	SAMN39106158	SRS19982676	220625MCX00023	220625MCX00023 DNA	WGS	METAGENOMIC	SINGLE	290914	14545700	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343318	SAMN39106159	SRS19982677	20210924MCX010	20210924MCX010 DNA	WGS	METAGENOMIC	SINGLE	191023	9551150	50	4.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343317	SAMN39106160	SRS19982678	20220105MCX010	20220105MCX010 DNA	WGS	METAGENOMIC	SINGLE	291210	14560500	50	7.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343316	SAMN39106161	SRS19982679	20220225MCX010	20220225MCX010 DNA	WGS	METAGENOMIC	SINGLE	277228	13861400	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343314	SAMN39106162	SRS19982680	20210428MCX011	20210428MCX011 DNA	WGS	METAGENOMIC	SINGLE	1238772	61938600	50	26.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343313	SAMN39106163	SRS19982681	20210507MCX009	20210507MCX009 DNA	WGS	METAGENOMIC	SINGLE	405489	20274450	50	9.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343312	SAMN39106164	SRS19982682	20210924MCX017	20210924MCX017 DNA	WGS	METAGENOMIC	SINGLE	230243	11512150	50	5.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343311	SAMN39106165	SRS19982683	20210910MCX014	20210910MCX014 DNA	WGS	METAGENOMIC	SINGLE	550937	27546850	50	12.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343310	SAMN39106166	SRS19982684	20210714MCX007	20210714MCX007 DNA	WGS	METAGENOMIC	SINGLE	1855904	92795200	50	39.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343309	SAMN39106167	SRS19982685	20211104MCX017	20211104MCX017 DNA	WGS	METAGENOMIC	SINGLE	207371	10368550	50	4.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343308	SAMN39106168	SRS19982686	20211222MCX010	20211222MCX010 DNA	WGS	METAGENOMIC	SINGLE	223230	11161500	50	5.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343307	SAMN39106169	SRS19982687	20220226MCX020	20220226MCX020 DNA	WGS	METAGENOMIC	SINGLE	419897	20994850	50	10.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343306	SAMN39106170	SRS19982688	20210713MCX010	20210713MCX010 DNA	WGS	METAGENOMIC	SINGLE	311515	15575750	50	7.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343305	SAMN39106171	SRS19982689	20211126MCX009	20211126MCX009 DNA	WGS	METAGENOMIC	SINGLE	271029	13551450	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343303	SAMN39106172	SRS19982690	20210422MCX007	20210422MCX007 DNA	WGS	METAGENOMIC	SINGLE	273713	13685650	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343301	SAMN39106173	SRS19982602	20210630MCX014	20210630MCX014 DNA	WGS	METAGENOMIC	SINGLE	590604	29530200	50	13.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343763	SAMN39106174	SRS19982603	20210723MCX017	20210723MCX017 DNA	WGS	METAGENOMIC	SINGLE	172909	8645450	50	4.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343762	SAMN39106175	SRS19982604	20211022MCX010	20211022MCX010 DNA	WGS	METAGENOMIC	SINGLE	152787	7639350	50	3.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343761	SAMN39106176	SRS19982606	20210430MCX011	20210430MCX011 DNA	WGS	METAGENOMIC	SINGLE	623562	31178100	50	14.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343760	SAMN39106177	SRS19982607	20210414MCX013	20210414MCX013 DNA	WGS	METAGENOMIC	SINGLE	392265	19613250	50	8.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343759	SAMN39106178	SRS19982608	20210526MCX015	20210526MCX015 DNA	WGS	METAGENOMIC	SINGLE	198837	9941850	50	4.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343758	SAMN39106179	SRS19982609	20210813MCX009	20210813MCX009 DNA	WGS	METAGENOMIC	SINGLE	276400	13820000	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343757	SAMN39106180	SRS19982610	20211112MCX010	20211112MCX010 DNA	WGS	METAGENOMIC	SINGLE	11397662	569883100	50	206.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343756	SAMN39106181	SRS19982611	20211124MCX019	20211124MCX019 DNA	WGS	METAGENOMIC	SINGLE	234216	11710800	50	5.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343754	SAMN39106182	SRS19982612	20211130MCX010	20211130MCX010 DNA	WGS	METAGENOMIC	SINGLE	342996	17149800	50	8.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343753	SAMN39106183	SRS19982613	20211204MCX004	20211204MCX004 DNA	WGS	METAGENOMIC	SINGLE	5544891	277244550	50	122.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343752	SAMN39106184	SRS19982614	20220104MCX015	20220104MCX015 DNA	WGS	METAGENOMIC	SINGLE	1144178	57208900	50	25.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343751	SAMN39106185	SRS19982615	20211203MCX011	20211203MCX011 DNA	WGS	METAGENOMIC	SINGLE	301416	15070800	50	7.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343750	SAMN39106186	SRS19982617	20211022MCX006	20211022MCX006 DNA	WGS	METAGENOMIC	SINGLE	185605	9280250	50	4.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343749	SAMN39106187	SRS19982618	230504MCX00021	230504MCX00021 DNA	WGS	METAGENOMIC	SINGLE	267510	13375500	50	5.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343748	SAMN39106188	SRS19982619	230505MCX00035	230505MCX00035 DNA	WGS	METAGENOMIC	SINGLE	222450	11122500	50	4.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343747	SAMN39106189	SRS19982620	230509MCX00022	230509MCX00022 DNA	WGS	METAGENOMIC	SINGLE	233163	11658150	50	5.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343746	SAMN39106190	SRS19982621	230510MCX00019	230510MCX00019 DNA	WGS	METAGENOMIC	SINGLE	214070	10703500	50	4.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343745	SAMN39106191	SRS19982622	230510MCX00020	230510MCX00020 DNA	WGS	METAGENOMIC	SINGLE	298264	14913200	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343743	SAMN39106192	SRS19982623	230512MCX00018	230512MCX00018 DNA	WGS	METAGENOMIC	SINGLE	271190	13559500	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343742	SAMN39106193	SRS19982624	230517MCX00018	230517MCX00018 DNA	WGS	METAGENOMIC	SINGLE	263953	13187237	49	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343741	SAMN39106194	SRS19982626	230517MCX00023	230517MCX00023 DNA	WGS	METAGENOMIC	SINGLE	175621	8772253	49	4.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343740	SAMN39106195	SRS19982625	230518MCX00014	230518MCX00014 DNA	WGS	METAGENOMIC	SINGLE	352085	17604250	50	8.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343739	SAMN39106196	SRS19982628	230526MCX00012	230526MCX00012 DNA	WGS	METAGENOMIC	SINGLE	435878	21793900	50	9.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343738	SAMN39106197	SRS19982627	230530MCX00020	230530MCX00020 DNA	WGS	METAGENOMIC	SINGLE	656518	32825900	50	13.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343737	SAMN39106198	SRS19982630	230603MCX00015	230603MCX00015 DNA	WGS	METAGENOMIC	SINGLE	345829	17291450	50	7.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343736	SAMN39106199	SRS19982631	230606MCX00022	230606MCX00022 DNA	WGS	METAGENOMIC	SINGLE	316749	15837450	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343735	SAMN39106200	SRS19982632	230606MCX00030	230606MCX00030 DNA	WGS	METAGENOMIC	SINGLE	266085	13304250	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343734	SAMN39106201	SRS19982633	20210309MCX007	20210309MCX007 DNA	WGS	METAGENOMIC	SINGLE	508725	25436250	50	11.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343732	SAMN39106202	SRS19982848	20210323MCX007	20210323MCX007 DNA	WGS	METAGENOMIC	SINGLE	379525	18976250	50	8.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343302	SAMN39106203	SRS19982849	20210330MCX002	20210330MCX002 DNA	WGS	METAGENOMIC	SINGLE	380231	19011550	50	8.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343300	SAMN39106204	SRS19982691	20210415MCX002	20210415MCX002 DNA	WGS	METAGENOMIC	SINGLE	234650	11732500	50	5.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343299	SAMN39106205	SRS19982692	20210429MCX009	20210429MCX009 DNA	WGS	METAGENOMIC	SINGLE	591366	29568300	50	12.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343298	SAMN39106206	SRS19982693	20210430MCX009	20210430MCX009 DNA	WGS	METAGENOMIC	SINGLE	524548	26227400	50	12.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343297	SAMN39106207	SRS19982694	20210524MCX007	20210524MCX007 DNA	WGS	METAGENOMIC	SINGLE	932259	46612950	50	20.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343296	SAMN39106208	SRS19982695	20210602MCX013	20210602MCX013 DNA	WGS	METAGENOMIC	SINGLE	368961	18448050	50	8.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343295	SAMN39106209	SRS19982696	20210603MCX006	20210603MCX006 DNA	WGS	METAGENOMIC	SINGLE	190032	9501600	50	4.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343294	SAMN39106210	SRS19982697	20210603MCX008	20210603MCX008 DNA	WGS	METAGENOMIC	SINGLE	2109397	105469850	50	45.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343293	SAMN39106211	SRS19982698	20210604MCX011	20210604MCX011 DNA	WGS	METAGENOMIC	SINGLE	768675	38433750	50	16.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343291	SAMN39106212	SRS19982699	20210617MCX009	20210617MCX009 DNA	WGS	METAGENOMIC	SINGLE	399432	19971600	50	8.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343290	SAMN39106213	SRS19982700	20210618MCX007	20210618MCX007 DNA	WGS	METAGENOMIC	SINGLE	293614	14680700	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343289	SAMN39106214	SRS19982701	20210619MCX010	20210619MCX010 DNA	WGS	METAGENOMIC	SINGLE	613907	30695350	50	13.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343288	SAMN39106215	SRS19982702	20210630MCX015	20210630MCX015 DNA	WGS	METAGENOMIC	SINGLE	512597	25629850	50	11.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343287	SAMN39106216	SRS19982703	20210701MCX010	20210701MCX010 DNA	WGS	METAGENOMIC	SINGLE	161236	8061800	50	3.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343286	SAMN39106217	SRS19982704	20210703MCX008	20210703MCX008 DNA	WGS	METAGENOMIC	SINGLE	665312	33265600	50	15.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343285	SAMN39106218	SRS19982705	20210710MCX009	20210710MCX009 DNA	WGS	METAGENOMIC	SINGLE	204833	10241650	50	4.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343284	SAMN39106219	SRS19982706	20210716MCX014	20210716MCX014 DNA	WGS	METAGENOMIC	SINGLE	1408715	70435750	50	32.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343283	SAMN39106220	SRS19982707	20210723MCX015	20210723MCX015 DNA	WGS	METAGENOMIC	SINGLE	280340	14017000	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343282	SAMN39106221	SRS19982708	20210728MCX012	20210728MCX012 DNA	WGS	METAGENOMIC	SINGLE	176525	8826250	50	4.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
